time,x_bias=-4.471635,y_bias=-9.585345000000002,z_bias=-0.47704125000000003
1615999980.5347164,-4.461506483845819,-9.535519555403924,-0.511283021750956
1615999980.7477746,-4.4618348385714235,-9.530349380797984,-0.5149317090872116
1615999980.9093323,-4.461682989531013,-9.535675436338902,-0.5149682473956123
1615999981.2847037,-4.469510671426681,-9.53604822541407,-0.5092234236086054
1615999981.459651,-4.47015428406529,-9.53572711572833,-0.5077173774787942
1615999981.5130284,-4.469056088812391,-9.530897396125336,-0.5082345516669662
1615999981.7264082,-4.467966622645025,-9.532442787942442,-0.5090923090887935
1615999982.7170317,-4.465431722829701,-9.536388777972077,-0.5066346573782212
1615999983.6254742,-4.4693994319414765,-9.53411311917264,-0.5063231623492488
1615999983.9939365,-4.467596755956749,-9.534589447690891,-0.5078136247357705
1615999984.1029768,-4.469733288397181,-9.534793553213982,-0.5079854884884129
1615999984.6303508,-4.473732516214164,-9.523581706971722,-0.511736201424321
1615999985.257675,-4.476803313004853,-9.52115567945793,-0.5130772594888536
1615999985.4242322,-4.473736952352243,-9.522380641601128,-0.5114377980117274
1615999986.009871,-4.473666359172909,-9.520261655055624,-0.5096411732424054
1615999986.4847941,-4.48585341691577,-9.524824885879722,-0.5107948499292958
1615999986.6976953,-4.488650093329954,-9.521578613194208,-0.5082662045915457
1615999986.8588946,-4.490308629238881,-9.522291703198189,-0.5074554955734826
1615999986.9158258,-4.491168042946493,-9.521043786166207,-0.5072809406177478
1615999987.180555,-4.49197466340294,-9.520024174673283,-0.50842148190046
1615999987.237291,-4.4915049167689105,-9.52098643292655,-0.5077122670814554
1615999987.8769076,-4.4915739695966055,-9.524136861442187,-0.5110400610718518
1615999988.297475,-4.492782038966246,-9.52442501905903,-0.5067343236932761
1615999988.7684581,-4.490331869756658,-9.519975913278214,-0.5064651526711201
1615999989.2940977,-4.486520785836109,-9.509323028512487,-0.5085391605263027
1615999989.57094,-4.4857028327979185,-9.507478133035184,-0.5080643050155126
1615999989.627773,-4.485208304469939,-9.506640851704832,-0.5074461619653574
1615999990.258897,-4.4829795750557775,-9.502384381430298,-0.504349657378918
1615999991.466971,-4.487290488795648,-9.517181111873356,-0.5090985235068243
1615999991.8416207,-4.490553072560549,-9.51452169362541,-0.5100482678275465
1615999992.4794364,-4.494366621225378,-9.507998101582364,-0.50690402124066
1615999992.9065115,-4.497741533010391,-9.490111700457083,-0.5067792919060345
1615999993.8231947,-4.2719297459000325,-9.465984815732112,-0.5119005283280056
1615999993.8834898,-4.254935448441032,-9.46617496757479,-0.5116815230447256
1615999993.996042,-4.251178015686886,-9.468213636112852,-0.5102431126287742
1615999994.1598985,-4.241008823174717,-9.467643809754206,-0.5111378996874616
1615999994.2716827,-4.24582074759354,-9.467987447940097,-0.5111530054836811
1615999994.7991915,-4.251437516096312,-9.482709963306503,-0.5109022288777109
1615999994.859118,-4.268745711680735,-9.485569264686337,-0.510264874277814
1615999994.9177847,-4.272665297018288,-9.48451931131908,-0.5091668532796856
1615999995.0328856,-4.28533496532542,-9.495536553613968,-0.5099782391702492
1615999995.4593751,-4.302837320500145,-9.513027628794505,-0.5092090707356152
1615999995.6805534,-4.301934482822192,-9.516995378981495,-0.5103064352279765
1615999995.7378109,-4.308434611614031,-9.520971670939764,-0.5128528371669397
1615999995.8478997,-4.314600033449837,-9.52739613917777,-0.5142963736497421
1615999995.9573405,-4.318578367784186,-9.526648706008132,-0.5137341258141123
1615999996.3286605,-4.323346693857312,-9.532797907113084,-0.5091369622825824
1615999996.5456474,-4.33051567975024,-9.535918680515964,-0.5067903196384225
1615999996.8630779,-4.329230042723211,-9.538993398773696,-0.5059329422776179
1615999997.8174047,-4.352805836472696,-9.537967314191837,-0.5028064890046903
1615999997.8752835,-4.3549826253268895,-9.53734463963942,-0.5028858898734969
1615999997.9901314,-4.366125672744251,-9.538330074766565,-0.5022203711128026
1615999998.1523113,-4.3678588968566405,-9.53772555627871,-0.5037184357276577
1615999998.6606562,-4.36842175595099,-9.540178778286359,-0.5026736563984294
1615999998.7687457,-4.36997503839148,-9.540764490503495,-0.5048219198344451
1615999998.9934952,-4.372859527565952,-9.54280254826484,-0.5035491300785079
1615999999.1562219,-4.376303247967389,-9.54556352755437,-0.5029295023899456
1615999999.2096853,-4.376727715487715,-9.544170392278826,-0.5038502073660461
1615999999.482343,-4.384852597909803,-9.547123771163733,-0.5075897769595512
1615999999.5376635,-4.385016571930705,-9.546852533452096,-0.5072388791899557
1615999999.871259,-4.387726736818013,-9.550832064542476,-0.5075254591792435
1616000000.7986248,-4.401196006557253,-9.54844234071958,-0.5042813679708422
1616000001.1728752,-4.405360206404563,-9.549731803187935,-0.5040275750026064
1616000001.3354611,-4.4047481632971115,-9.548630890304496,-0.5046138012600545
1616000001.4475281,-4.4061564248475,-9.546560510587437,-0.5033701116149795
1616000001.5057082,-4.408938411993034,-9.543917081426747,-0.5030952963938414
1616000002.0875475,-4.4139013910946305,-9.552073414324122,-0.5028988981762555
1616000003.4211493,-4.425075038910194,-9.545676703237545,-0.5098451062648405
1616000003.747003,-4.423424931429522,-9.543859678224687,-0.5109925967636685
1616000003.7983255,-4.424253182115226,-9.54353358144244,-0.5113951707960318
1616000004.018094,-4.4259437999571904,-9.538858963709616,-0.5131336622374366
1616000004.4215786,-4.432677423617894,-9.542011771415492,-0.5115812186016938
1616000004.739741,-4.433803168344429,-9.548417083794753,-0.5104302948297249
1616000005.180234,-4.432648484157629,-9.549187825859638,-0.5115982237639494
1616000005.3975391,-4.432552154322892,-9.552093863125032,-0.5118710441110468
1616000005.621009,-4.437854998259474,-9.548688924825893,-0.5121284501201055
1616000005.6813087,-4.439676448276879,-9.550152035577634,-0.5124321656189045
1616000005.7985642,-4.442256606836607,-9.551663658718944,-0.5128053728678574
1616000006.0911994,-4.4442167924108835,-9.55158969347742,-0.5109702821334262
1616000006.2030563,-4.445012124486775,-9.555473796542644,-0.5096230793120919
1616000006.3159003,-4.447169619377393,-9.555309145561532,-0.5092057254834434
